Target Distance: 1000, Step Size: 10
5286 (x, y) = (481.566, -186.59)
5287 (x, y) = (476.238, -195.052)
5288 (x, y) = (480.559, -186.034)
5289 (x, y) = (484.801, -195.09)
5290 (x, y) = (491.73, -187.879)
5291 (x, y) = (487.328, -196.859)
5292 (x, y) = (496.646, -193.227)
5293 (x, y) = (486.802, -194.987)
5294 (x, y) = (496.428, -192.278)
5295 (x, y) = (504.621, -198.012)
5296 (x, y) = (514.607, -197.481)
5297 (x, y) = (521.342, -204.873)
5298 (x, y) = (523.233, -214.692)
5299 (x, y) = (518.992, -223.748)
5300 (x, y) = (528.865, -225.334)
5301 (x, y) = (526.974, -235.154)
5302 (x, y) = (517.45, -238.202)
5303 (x, y) = (524.752, -231.369)
5304 (x, y) = (516.409, -225.855)
5305 (x, y) = (519.751, -235.28)
5306 (x, y) = (515.429, -226.262)
5307 (x, y) = (510.176, -217.753)
5308 (x, y) = (503.774, -225.436)
5309 (x, y) = (506.098, -215.71)
5310 (x, y) = (514.44, -210.195)
5311 (x, y) = (504.553, -208.697)
5312 (x, y) = (514.549, -208.962)
5313 (x, y) = (515.654, -218.901)
5314 (x, y) = (517.371, -228.752)
5315 (x, y) = (508.296, -224.551)
5316 (x, y) = (504.215, -215.422)
5317 (x, y) = (498.373, -223.538)
5318 (x, y) = (506.996, -228.602)
5319 (x, y) = (504.075, -219.038)
5320 (x, y) = (511.842, -225.337)
5321 (x, y) = (521.84, -225.16)
5322 (x, y) = (513.402, -230.526)
5323 (x, y) = (522.282, -235.124)
5324 (x, y) = (525.118, -244.714)
5325 (x, y) = (515.158, -243.83)
5326 (x, y) = (524.759, -246.624)
5327 (x, y) = (514.872, -245.126)
5328 (x, y) = (516.064, -235.197)
5329 (x, y) = (525.759, -237.649)
5330 (x, y) = (531.012, -229.14)
5331 (x, y) = (535.413, -238.12)
5332 (x, y) = (541.815, -245.802)
5333 (x, y) = (541.859, -255.802)
5334 (x, y) = (541.372, -245.814)
5335 (x, y) = (547.357, -253.825)
5336 (x, y) = (557.201, -255.586)
5337 (x, y) = (558.129, -265.542)
5338 (x, y) = (555.633, -255.859)
5339 (x, y) = (563.23, -249.356)
5340 (x, y) = (559.393, -258.59)
5341 (x, y) = (549.493, -257.179)
5342 (x, y) = (556.855, -263.947)
5343 (x, y) = (558.485, -254.08)
5344 (x, y) = (548.562, -252.845)
5345 (x, y) = (544.971, -243.511)
5346 (x, y) = (554.971, -243.511)
5347 (x, y) = (553.254, -253.363)
5348 (x, y) = (552.856, -263.355)
5349 (x, y) = (545.615, -270.252)
5350 (x, y) = (544.687, -280.209)
5351 (x, y) = (553.724, -284.49)
5352 (x, y) = (561.602, -290.651)
5353 (x, y) = (551.845, -288.457)
5354 (x, y) = (550.128, -298.308)
5355 (x, y) = (547.292, -307.897)
5356 (x, y) = (540.959, -300.159)
5357 (x, y) = (542.588, -290.292)
5358 (x, y) = (533.441, -294.333)
5359 (x, y) = (538.235, -285.557)
5360 (x, y) = (548.147, -286.881)
5361 (x, y) = (558.091, -285.821)
5362 (x, y) = (551.035, -278.734)
5363 (x, y) = (542.324, -283.644)
5364 (x, y) = (549.626, -276.812)
5365 (x, y) = (542.761, -284.083)
5366 (x, y) = (535.107, -290.519)
5367 (x, y) = (541.509, -298.201)
5368 (x, y) = (547.842, -290.462)
5369 (x, y) = (547.886, -300.462)
5370 (x, y) = (556.13, -294.801)
5371 (x, y) = (564.568, -300.167)
5372 (x, y) = (560.568, -309.332)
5373 (x, y) = (554.944, -301.064)
5374 (x, y) = (556.922, -291.261)
5375 (x, y) = (547.511, -294.645)
5376 (x, y) = (543.838, -303.946)
5377 (x, y) = (538.736, -295.345)
5378 (x, y) = (544.932, -287.496)
5379 (x, y) = (545.153, -297.493)
5380 (x, y) = (544.401, -307.465)
5381 (x, y) = (547.238, -317.054)
5382 (x, y) = (537.858, -313.588)
5383 (x, y) = (530.377, -320.224)
5384 (x, y) = (538.144, -326.523)
5385 (x, y) = (546.438, -332.111)
5386 (x, y) = (555.817, -328.644)
5387 (x, y) = (561.731, -320.58)
5388 (x, y) = (553.641, -326.458)
5389 (x, y) = (552.273, -316.552)
5390 (x, y) = (543.606, -311.565)
5391 (x, y) = (536.304, -304.732)
5392 (x, y) = (528.537, -311.032)
5393 (x, y) = (519.22, -307.4)
5394 (x, y) = (528.892, -304.861)
5395 (x, y) = (524.098, -296.086)
5396 (x, y) = (522.207, -305.905)
5397 (x, y) = (532.051, -307.666)
5398 (x, y) = (539.705, -314.101)
5399 (x, y) = (542.2, -304.417)
5400 (x, y) = (535.271, -297.207)
5401 (x, y) = (535.315, -307.207)
5402 (x, y) = (536.42, -317.146)
5403 (x, y) = (534.877, -327.026)
5404 (x, y) = (541.347, -319.4)
5405 (x, y) = (534.167, -312.44)
5406 (x, y) = (526.57, -305.937)
5407 (x, y) = (528.199, -296.071)
5408 (x, y) = (537.872, -293.532)
5409 (x, y) = (528.912, -297.973)
5410 (x, y) = (538.824, -299.297)
5411 (x, y) = (529.713, -295.176)
5412 (x, y) = (532.379, -285.538)
5413 (x, y) = (530.662, -295.389)
5414 (x, y) = (540.49, -293.541)
5415 (x, y) = (531.491, -289.18)
5416 (x, y) = (540.566, -284.978)
5417 (x, y) = (549.946, -281.512)
5418 (x, y) = (547.536, -291.217)
5419 (x, y) = (539.343, -296.951)
5420 (x, y) = (529.767, -299.83)
5421 (x, y) = (538.804, -304.112)
5422 (x, y) = (540.782, -294.309)
5423 (x, y) = (539.942, -284.344)
5424 (x, y) = (547.596, -290.78)
5425 (x, y) = (540.355, -297.677)
5426 (x, y) = (541.107, -307.649)
5427 (x, y) = (531.35, -305.454)
5428 (x, y) = (541.045, -307.907)
5429 (x, y) = (541.443, -317.899)
5430 (x, y) = (535.11, -310.16)
5431 (x, y) = (525.186, -308.924)
5432 (x, y) = (532.242, -301.838)
5433 (x, y) = (523.445, -306.593)
5434 (x, y) = (517.747, -314.811)
5435 (x, y) = (514.24, -324.176)
5436 (x, y) = (518.158, -314.976)
5437 (x, y) = (522.158, -324.141)
5438 (x, y) = (529.58, -317.439)
5439 (x, y) = (524.029, -325.757)
5440 (x, y) = (533.903, -327.342)
5441 (x, y) = (534.301, -337.335)
5442 (x, y) = (526.59, -330.967)
5443 (x, y) = (516.815, -333.075)
5444 (x, y) = (506.971, -334.836)
5445 (x, y) = (516.952, -335.455)
5446 (x, y) = (518.756, -325.619)
5447 (x, y) = (514.675, -316.49)
5448 (x, y) = (513.571, -326.429)
5449 (x, y) = (518.749, -334.984)
5450 (x, y) = (508.78, -335.779)
5451 (x, y) = (516.319, -329.21)
5452 (x, y) = (526.131, -331.144)
5453 (x, y) = (519.935, -323.294)
5454 (x, y) = (524.652, -332.112)
5455 (x, y) = (533.319, -327.125)
5456 (x, y) = (523.323, -327.39)
5457 (x, y) = (529.859, -319.822)
5458 (x, y) = (529.903, -329.822)
5459 (x, y) = (534.065, -338.915)
5460 (x, y) = (540.668, -346.425)
5461 (x, y) = (533.071, -339.922)
5462 (x, y) = (523.148, -338.686)
5463 (x, y) = (525.126, -328.884)
5464 (x, y) = (526.843, -338.735)
5465 (x, y) = (536.818, -338.028)
5466 (x, y) = (539.141, -328.301)
5467 (x, y) = (529.645, -325.169)
5468 (x, y) = (531.362, -335.021)
5469 (x, y) = (521.951, -338.404)
5470 (x, y) = (513.284, -333.417)
5471 (x, y) = (514.913, -323.551)
5472 (x, y) = (510.275, -314.691)
5473 (x, y) = (512.513, -324.438)
5474 (x, y) = (507.718, -315.662)
5475 (x, y) = (505.395, -305.936)
5476 (x, y) = (499.77, -297.668)
5477 (x, y) = (490.144, -294.958)
5478 (x, y) = (489.04, -304.897)
5479 (x, y) = (483.343, -313.116)
5480 (x, y) = (473.933, -316.499)
5481 (x, y) = (479.702, -308.331)
5482 (x, y) = (473.789, -300.267)
5483 (x, y) = (477.789, -309.433)
5484 (x, y) = (467.855, -310.581)
5485 (x, y) = (470.521, -300.943)
5486 (x, y) = (460.945, -303.822)
5487 (x, y) = (467.414, -296.196)
5488 (x, y) = (460.485, -288.986)
5489 (x, y) = (468.728, -283.325)
5490 (x, y) = (478.197, -286.541)
5491 (x, y) = (472.646, -294.859)
5492 (x, y) = (477.127, -285.918)
5493 (x, y) = (478.231, -295.857)
5494 (x, y) = (469.232, -291.496)
5495 (x, y) = (479.06, -289.648)
5496 (x, y) = (487.592, -294.864)
5497 (x, y) = (482.643, -286.174)
5498 (x, y) = (473.092, -283.211)
5499 (x, y) = (466.759, -275.472)
5500 (x, y) = (475.639, -280.071)
5501 (x, y) = (485.614, -279.363)
5502 (x, y) = (493.704, -285.241)
5503 (x, y) = (503.694, -285.683)
5504 (x, y) = (512.693, -281.321)
5505 (x, y) = (507.364, -289.784)
5506 (x, y) = (499.71, -296.219)
5507 (x, y) = (505.975, -304.014)
5508 (x, y) = (500.572, -312.429)
5509 (x, y) = (509.684, -308.307)
5510 (x, y) = (511.488, -298.471)
5511 (x, y) = (516.589, -289.871)
5512 (x, y) = (513.164, -280.475)
5513 (x, y) = (505.923, -287.372)
5514 (x, y) = (498.213, -281.005)
5515 (x, y) = (506.603, -286.445)
5516 (x, y) = (516.477, -288.031)
5517 (x, y) = (508.134, -282.517)
5518 (x, y) = (499.098, -286.799)
5519 (x, y) = (493.042, -278.841)
5520 (x, y) = (496.048, -288.378)
5521 (x, y) = (487.011, -292.66)
5522 (x, y) = (477.152, -290.987)
5523 (x, y) = (468.62, -296.202)
5524 (x, y) = (478.089, -299.418)
5525 (x, y) = (487.989, -300.829)
5526 (x, y) = (489.356, -290.923)
5527 (x, y) = (499.112, -288.729)
5528 (x, y) = (495.439, -298.03)
5529 (x, y) = (485.612, -296.182)
5530 (x, y) = (493.649, -290.233)
5531 (x, y) = (501.011, -297)
5532 (x, y) = (493.71, -290.168)
5533 (x, y) = (493.4, -280.173)
5534 (x, y) = (485.207, -285.907)
5535 (x, y) = (475.32, -284.408)
5536 (x, y) = (484.158, -279.731)
5537 (x, y) = (476.562, -273.228)
5538 (x, y) = (481.815, -264.719)
5539 (x, y) = (472.189, -262.01)
5540 (x, y) = (478.244, -254.051)
5541 (x, y) = (476.353, -263.871)
5542 (x, y) = (483.282, -256.66)
5543 (x, y) = (480.445, -266.25)
5544 (x, y) = (470.465, -266.869)
5545 (x, y) = (470.155, -256.874)
5546 (x, y) = (479.732, -259.752)
5547 (x, y) = (483.239, -269.117)
5548 (x, y) = (474.801, -274.483)
5549 (x, y) = (484.762, -273.599)
5550 (x, y) = (483.746, -263.651)
5551 (x, y) = (478.874, -272.384)
5552 (x, y) = (468.931, -271.324)
5553 (x, y) = (466.35, -280.985)
5554 (x, y) = (474.172, -274.755)
5555 (x, y) = (478.009, -283.99)
5556 (x, y) = (472.681, -292.452)
5557 (x, y) = (482.593, -293.775)
5558 (x, y) = (474.661, -287.685)
5559 (x, y) = (464.738, -286.449)
5560 (x, y) = (474.738, -286.449)
5561 (x, y) = (470.657, -277.32)
5562 (x, y) = (477.959, -270.487)
5563 (x, y) = (476.504, -260.594)
5564 (x, y) = (475.576, -270.55)
5565 (x, y) = (468.583, -277.699)
5566 (x, y) = (468.982, -287.691)
5567 (x, y) = (461.215, -293.991)
5568 (x, y) = (452.418, -298.746)
5569 (x, y) = (462.352, -299.894)
5570 (x, y) = (467.755, -291.479)
5571 (x, y) = (473.008, -282.97)
5572 (x, y) = (480.547, -276.4)
5573 (x, y) = (489.927, -272.934)
5574 (x, y) = (495.105, -281.489)
5575 (x, y) = (486.068, -285.771)
5576 (x, y) = (476.628, -282.471)
5577 (x, y) = (466.785, -284.232)
5578 (x, y) = (475.27, -278.941)
5579 (x, y) = (484.794, -281.989)
5580 (x, y) = (493.088, -287.576)
5581 (x, y) = (499.213, -295.48)
5582 (x, y) = (506.269, -288.394)
5583 (x, y) = (506.755, -278.405)
5584 (x, y) = (513.02, -286.2)
5585 (x, y) = (522.516, -283.068)
5586 (x, y) = (530.607, -288.945)
5587 (x, y) = (532.585, -279.143)
5588 (x, y) = (523.961, -284.207)
5589 (x, y) = (532.205, -278.546)
5590 (x, y) = (538.808, -286.056)
5591 (x, y) = (529.459, -289.605)
5592 (x, y) = (531.524, -299.389)
5593 (x, y) = (528.518, -308.927)
5594 (x, y) = (537.867, -312.476)
5595 (x, y) = (539.497, -302.61)
5596 (x, y) = (540.689, -292.681)
5597 (x, y) = (533.448, -299.578)
5598 (x, y) = (533.404, -309.578)
5599 (x, y) = (532.212, -299.649)
5600 (x, y) = (541.788, -302.528)
5601 (x, y) = (532.408, -299.062)
5602 (x, y) = (539.273, -306.333)
5603 (x, y) = (533.148, -314.238)
5604 (x, y) = (542.774, -311.528)
5605 (x, y) = (551.571, -316.283)
5606 (x, y) = (542.732, -311.606)
5607 (x, y) = (532.921, -313.541)
5608 (x, y) = (542.331, -316.924)
5609 (x, y) = (546.969, -308.065)
5610 (x, y) = (542.647, -299.047)
5611 (x, y) = (544.539, -308.866)
5612 (x, y) = (538.002, -316.434)
5613 (x, y) = (531.333, -308.983)
5614 (x, y) = (539.264, -302.893)
5615 (x, y) = (533.567, -311.111)
5616 (x, y) = (523.872, -313.564)
5617 (x, y) = (516.755, -320.588)
5618 (x, y) = (523.019, -328.382)
5619 (x, y) = (519.594, -318.987)
5620 (x, y) = (528.593, -314.625)
5621 (x, y) = (525.085, -323.99)
5622 (x, y) = (520.291, -315.214)
5623 (x, y) = (523.381, -305.704)
5624 (x, y) = (513.42, -304.82)
5625 (x, y) = (509.747, -314.121)
5626 (x, y) = (516.216, -306.495)
5627 (x, y) = (507.593, -311.559)
5628 (x, y) = (497.8, -309.538)
5629 (x, y) = (491.398, -317.221)
5630 (x, y) = (494.065, -307.583)
5631 (x, y) = (501.12, -300.496)
5632 (x, y) = (505.758, -291.637)
5633 (x, y) = (513.635, -297.797)
5634 (x, y) = (520.876, -304.694)
5635 (x, y) = (530.67, -302.672)
5636 (x, y) = (532.037, -292.766)
5637 (x, y) = (530.845, -282.837)
5638 (x, y) = (538.207, -289.605)
5639 (x, y) = (547.758, -286.641)
5640 (x, y) = (542.355, -278.227)
5641 (x, y) = (543.635, -288.144)
5642 (x, y) = (551.828, -293.878)
5643 (x, y) = (549.763, -303.663)
5644 (x, y) = (551.567, -293.827)
5645 (x, y) = (541.571, -294.092)
5646 (x, y) = (531.814, -291.898)
5647 (x, y) = (523.571, -286.237)
5648 (x, y) = (521.247, -276.511)
5649 (x, y) = (517.574, -285.812)
5650 (x, y) = (527.527, -286.784)
5651 (x, y) = (533.582, -278.825)
5652 (x, y) = (524.662, -274.305)
5653 (x, y) = (529.84, -282.861)
5654 (x, y) = (525.921, -273.66)
5655 (x, y) = (529.346, -264.265)
5656 (x, y) = (537.277, -258.174)
5657 (x, y) = (533.521, -248.906)
5658 (x, y) = (542.739, -252.784)
5659 (x, y) = (533.066, -250.246)
5660 (x, y) = (539.995, -243.035)
5661 (x, y) = (540.747, -253.007)
5662 (x, y) = (532.356, -258.447)
5663 (x, y) = (532.842, -248.459)
5664 (x, y) = (541.639, -253.214)
5665 (x, y) = (531.679, -252.331)
5666 (x, y) = (527.277, -261.31)
5667 (x, y) = (532.68, -252.895)
5668 (x, y) = (529.759, -243.332)
5669 (x, y) = (538.758, -238.97)
5670 (x, y) = (539.686, -248.927)
5671 (x, y) = (529.742, -247.867)
5672 (x, y) = (519.883, -246.194)
5673 (x, y) = (519.839, -256.194)
5674 (x, y) = (514.737, -247.593)
5675 (x, y) = (506.346, -253.033)
5676 (x, y) = (498.004, -247.519)
5677 (x, y) = (488.507, -244.387)
5678 (x, y) = (488.728, -254.385)
5679 (x, y) = (492.236, -263.749)
5680 (x, y) = (487.915, -254.731)
5681 (x, y) = (497.097, -250.772)
5682 (x, y) = (487.122, -250.065)
5683 (x, y) = (486.901, -260.062)
5684 (x, y) = (496.341, -256.762)
5685 (x, y) = (489.872, -249.137)
5686 (x, y) = (486.364, -258.502)
5687 (x, y) = (477.253, -254.38)
5688 (x, y) = (472.931, -245.362)
5689 (x, y) = (481.642, -250.273)
5690 (x, y) = (489.123, -256.909)
5691 (x, y) = (490.578, -247.015)
5692 (x, y) = (482.285, -252.603)
5693 (x, y) = (480.568, -262.455)
5694 (x, y) = (473.45, -269.479)
5695 (x, y) = (463.591, -267.805)
5696 (x, y) = (463.724, -257.806)
5697 (x, y) = (464.652, -267.763)
5698 (x, y) = (462.674, -257.961)
5699 (x, y) = (453.123, -254.997)
5700 (x, y) = (455.446, -245.271)
5701 (x, y) = (445.603, -247.032)
5702 (x, y) = (439, -254.542)
5703 (x, y) = (438.513, -244.554)
5704 (x, y) = (434.676, -253.788)
5705 (x, y) = (431.755, -244.224)
5706 (x, y) = (426.13, -235.956)
5707 (x, y) = (423.979, -226.19)
5708 (x, y) = (423.669, -216.195)
5709 (x, y) = (418.953, -225.013)
5710 (x, y) = (410.66, -230.601)
5711 (x, y) = (420.594, -231.749)
5712 (x, y) = (417.842, -241.363)
5713 (x, y) = (426.916, -237.161)
5714 (x, y) = (436.885, -237.957)
5715 (x, y) = (441.046, -228.864)
5716 (x, y) = (448.756, -222.496)
5717 (x, y) = (458.493, -224.776)
5718 (x, y) = (453.699, -216.001)
5719 (x, y) = (450.947, -225.615)
5720 (x, y) = (460.232, -229.329)
5721 (x, y) = (450.914, -225.697)
5722 (x, y) = (441.39, -228.745)
5723 (x, y) = (432.47, -224.225)
5724 (x, y) = (433.398, -234.182)
5725 (x, y) = (441.74, -228.668)
5726 (x, y) = (432.902, -223.991)
5727 (x, y) = (423.276, -221.281)
5728 (x, y) = (420.695, -230.943)
5729 (x, y) = (430.47, -233.05)
5730 (x, y) = (440.072, -235.845)
5731 (x, y) = (438.704, -225.939)
5732 (x, y) = (441.456, -235.552)
5733 (x, y) = (435.4, -227.594)
5734 (x, y) = (439.4, -236.76)
5735 (x, y) = (430.646, -231.927)
5736 (x, y) = (424.804, -240.043)
5737 (x, y) = (433.097, -245.63)
5738 (x, y) = (425.5, -239.128)
5739 (x, y) = (435.173, -236.589)
5740 (x, y) = (436.54, -226.683)
5741 (x, y) = (429.178, -233.451)
5742 (x, y) = (426.941, -243.197)
5743 (x, y) = (433.206, -250.992)
5744 (x, y) = (439.261, -243.033)
5745 (x, y) = (441.499, -252.78)
5746 (x, y) = (451.492, -252.426)
5747 (x, y) = (441.502, -252.868)
5748 (x, y) = (434.51, -260.017)
5749 (x, y) = (424.557, -260.989)
5750 (x, y) = (419.532, -269.635)
5751 (x, y) = (420.899, -259.729)
5752 (x, y) = (427.828, -252.518)
5753 (x, y) = (417.941, -251.02)
5754 (x, y) = (425.537, -244.517)
5755 (x, y) = (417.345, -250.25)
5756 (x, y) = (415.366, -240.448)
5757 (x, y) = (413.215, -230.682)
5758 (x, y) = (403.292, -229.446)
5759 (x, y) = (399.292, -238.612)
5760 (x, y) = (400.659, -228.706)
5761 (x, y) = (408.481, -222.476)
5762 (x, y) = (412.236, -213.207)
5763 (x, y) = (411.133, -223.146)
5764 (x, y) = (401.848, -226.861)
5765 (x, y) = (392.092, -224.666)
5766 (x, y) = (401.642, -221.703)
5767 (x, y) = (411.628, -221.172)
5768 (x, y) = (408.287, -230.597)
5769 (x, y) = (411.293, -240.135)
5770 (x, y) = (421.121, -238.287)
5771 (x, y) = (416.019, -229.686)
5772 (x, y) = (420.813, -220.91)
5773 (x, y) = (422.005, -210.982)
5774 (x, y) = (413.337, -205.994)
5775 (x, y) = (413.823, -196.006)
5776 (x, y) = (421.913, -201.884)
5777 (x, y) = (413.721, -207.618)
5778 (x, y) = (423.297, -210.497)
5779 (x, y) = (422.811, -200.508)
5780 (x, y) = (413.89, -195.988)
5781 (x, y) = (420.36, -188.363)
5782 (x, y) = (422.941, -198.024)
5783 (x, y) = (432.543, -200.818)
5784 (x, y) = (435.633, -191.307)
5785 (x, y) = (427.756, -197.468)
5786 (x, y) = (434.089, -189.729)
5787 (x, y) = (428.247, -197.845)
5788 (x, y) = (430.138, -207.665)
5789 (x, y) = (436.54, -215.347)
5790 (x, y) = (442.237, -223.565)
5791 (x, y) = (433.659, -218.426)
5792 (x, y) = (443.628, -219.221)
5793 (x, y) = (448.187, -228.121)
5794 (x, y) = (448.497, -218.126)
5795 (x, y) = (458.341, -219.886)
5796 (x, y) = (466.779, -225.252)
5797 (x, y) = (467.001, -235.25)
5798 (x, y) = (472.178, -243.805)
5799 (x, y) = (468.506, -253.106)
5800 (x, y) = (458.506, -253.106)
5801 (x, y) = (452.736, -244.939)
5802 (x, y) = (461.918, -240.979)
5803 (x, y) = (456.893, -249.625)
5804 (x, y) = (447.576, -245.993)
5805 (x, y) = (450.833, -236.538)
5806 (x, y) = (452.463, -226.672)
5807 (x, y) = (462.463, -226.672)
5808 (x, y) = (472.065, -229.466)
5809 (x, y) = (466.151, -221.402)
5810 (x, y) = (458.274, -227.563)
5811 (x, y) = (450.972, -220.73)
5812 (x, y) = (459.971, -216.369)
5813 (x, y) = (450.018, -217.341)
5814 (x, y) = (457.011, -224.49)
5815 (x, y) = (453.42, -215.157)
5816 (x, y) = (463.364, -214.096)
5817 (x, y) = (465.428, -223.881)
5818 (x, y) = (456.896, -229.097)
5819 (x, y) = (457.206, -219.101)
5820 (x, y) = (448.023, -215.142)
5821 (x, y) = (440.369, -221.578)
5822 (x, y) = (450.125, -219.383)
5823 (x, y) = (440.657, -222.6)
5824 (x, y) = (449.495, -217.922)
5825 (x, y) = (451.905, -227.627)
5826 (x, y) = (442.303, -230.422)
5827 (x, y) = (433.68, -235.486)
5828 (x, y) = (427.416, -243.28)
5829 (x, y) = (435.609, -249.014)
5830 (x, y) = (440.481, -257.747)
5831 (x, y) = (449.766, -261.461)
5832 (x, y) = (439.907, -259.788)
5833 (x, y) = (448.392, -254.497)
5834 (x, y) = (450.37, -244.694)
5835 (x, y) = (447.029, -254.119)
5836 (x, y) = (444.619, -263.825)
5837 (x, y) = (451.288, -256.373)
5838 (x, y) = (451.686, -266.366)
5839 (x, y) = (441.93, -264.171)
5840 (x, y) = (432.174, -261.977)
5841 (x, y) = (423.335, -257.3)
5842 (x, y) = (430.2, -264.571)
5843 (x, y) = (421.017, -260.612)
5844 (x, y) = (417.509, -269.977)
5845 (x, y) = (410.392, -277.001)
5846 (x, y) = (406.311, -267.871)
5847 (x, y) = (397.163, -271.912)
5848 (x, y) = (387.427, -274.193)
5849 (x, y) = (381.231, -266.343)
5850 (x, y) = (390.483, -262.547)
5851 (x, y) = (393.064, -272.208)
5852 (x, y) = (400.831, -278.507)
5853 (x, y) = (391.794, -282.789)
5854 (x, y) = (387.794, -291.954)
5855 (x, y) = (378.577, -295.832)
5856 (x, y) = (368.861, -293.465)
5857 (x, y) = (359.576, -297.18)
5858 (x, y) = (360.151, -307.163)
5859 (x, y) = (365.993, -315.279)
5860 (x, y) = (372.189, -307.429)
5861 (x, y) = (378.725, -314.997)
5862 (x, y) = (368.95, -317.105)
5863 (x, y) = (362.617, -309.367)
5864 (x, y) = (357.978, -300.507)
5865 (x, y) = (353.897, -291.378)
5866 (x, y) = (345.807, -297.256)
5867 (x, y) = (336.31, -294.124)
5868 (x, y) = (343.303, -301.273)
5869 (x, y) = (346.393, -291.762)
5870 (x, y) = (337.596, -296.518)
5871 (x, y) = (344.461, -303.789)
5872 (x, y) = (337.726, -311.181)
5873 (x, y) = (335.835, -321.001)
5874 (x, y) = (343.316, -327.637)
5875 (x, y) = (349.371, -319.678)
5876 (x, y) = (356.91, -313.109)
5877 (x, y) = (355.806, -323.047)
5878 (x, y) = (365.057, -319.251)
5879 (x, y) = (375.054, -319.516)
5880 (x, y) = (383.632, -314.376)
5881 (x, y) = (391.112, -321.012)
5882 (x, y) = (400.581, -324.228)
5883 (x, y) = (407.118, -331.796)
5884 (x, y) = (409.528, -341.501)
5885 (x, y) = (412.28, -351.115)
5886 (x, y) = (415.704, -341.72)
5887 (x, y) = (425.548, -343.481)
5888 (x, y) = (419.851, -351.699)
5889 (x, y) = (409.907, -350.639)
5890 (x, y) = (419.683, -352.747)
5891 (x, y) = (426.152, -345.121)
5892 (x, y) = (427.432, -355.039)
5893 (x, y) = (427.034, -365.031)
5894 (x, y) = (429.7, -355.393)
5895 (x, y) = (425.781, -346.193)
5896 (x, y) = (435.332, -343.229)
5897 (x, y) = (443.154, -336.999)
5898 (x, y) = (440.233, -327.435)
5899 (x, y) = (434.756, -319.069)
5900 (x, y) = (429.058, -327.287)
5901 (x, y) = (421.347, -320.92)
5902 (x, y) = (414.483, -328.191)
5903 (x, y) = (404.522, -327.308)
5904 (x, y) = (414.35, -325.46)
5905 (x, y) = (423.926, -328.339)
5906 (x, y) = (424.766, -318.374)
5907 (x, y) = (434.541, -320.482)
5908 (x, y) = (444.214, -317.943)
5909 (x, y) = (436.337, -324.104)
5910 (x, y) = (445.091, -319.271)
5911 (x, y) = (445.578, -309.283)
5912 (x, y) = (435.719, -307.609)
5913 (x, y) = (435.94, -317.607)
5914 (x, y) = (437.918, -307.804)
5915 (x, y) = (442.79, -316.537)
5916 (x, y) = (443.365, -326.521)
5917 (x, y) = (449.49, -334.425)
5918 (x, y) = (448.298, -324.496)
5919 (x, y) = (458.172, -326.082)
5920 (x, y) = (459.011, -316.118)
5921 (x, y) = (461.763, -325.731)
5922 (x, y) = (471.015, -321.935)
5923 (x, y) = (463.774, -328.832)
5924 (x, y) = (454.894, -333.431)
5925 (x, y) = (458.402, -342.796)
5926 (x, y) = (454.894, -352.16)
5927 (x, y) = (464.806, -353.484)
5928 (x, y) = (471.606, -346.152)
5929 (x, y) = (463.074, -351.367)
5930 (x, y) = (459.649, -341.972)
5931 (x, y) = (468.832, -338.013)
5932 (x, y) = (458.932, -336.601)
5933 (x, y) = (465.197, -344.396)
5934 (x, y) = (457.895, -337.564)
5935 (x, y) = (455.314, -347.225)
5936 (x, y) = (457.809, -337.541)
5937 (x, y) = (466.248, -342.907)
5938 (x, y) = (473.048, -335.575)
5939 (x, y) = (472.12, -345.532)
5940 (x, y) = (462.74, -342.065)
5941 (x, y) = (467.141, -351.045)
5942 (x, y) = (474.07, -343.834)
5943 (x, y) = (465.273, -348.59)
5944 (x, y) = (473.204, -342.499)
5945 (x, y) = (467.507, -350.717)
5946 (x, y) = (467.197, -340.722)
5947 (x, y) = (476.774, -343.601)
5948 (x, y) = (480.774, -352.766)
5949 (x, y) = (489.017, -347.105)
5950 (x, y) = (484.223, -338.329)
5951 (x, y) = (482.245, -328.527)
5952 (x, y) = (491.685, -325.227)
5953 (x, y) = (498.74, -318.14)
5954 (x, y) = (500.805, -327.924)
5955 (x, y) = (497.464, -337.35)
5956 (x, y) = (490.729, -344.742)
5957 (x, y) = (487.555, -354.225)
5958 (x, y) = (484.633, -344.661)
5959 (x, y) = (474.635, -344.484)
5960 (x, y) = (464.962, -341.946)
5961 (x, y) = (464.476, -331.958)
5962 (x, y) = (455.224, -328.162)
5963 (x, y) = (458.649, -318.766)
5964 (x, y) = (464.775, -326.67)
5965 (x, y) = (454.888, -325.172)
5966 (x, y) = (448.153, -332.564)
5967 (x, y) = (447.137, -322.616)
5968 (x, y) = (450.311, -332.099)
5969 (x, y) = (459.937, -329.389)
5970 (x, y) = (463.027, -319.879)
5971 (x, y) = (469.63, -327.388)
5972 (x, y) = (478.881, -323.592)
5973 (x, y) = (486.648, -329.891)
5974 (x, y) = (477.151, -326.759)
5975 (x, y) = (467.934, -330.637)
5976 (x, y) = (472.176, -339.693)
5977 (x, y) = (462.185, -340.135)
5978 (x, y) = (465.36, -349.618)
5979 (x, y) = (475.076, -347.251)
5980 (x, y) = (478.666, -337.918)
5981 (x, y) = (468.838, -336.07)
5982 (x, y) = (465.33, -345.435)
5983 (x, y) = (455.806, -348.483)
5984 (x, y) = (465.75, -347.423)
